row,col,expected,actual,numeric_diff
44,21,11/30/2025,Nov 25,
44,22,3.33,3.24,0.08999999999999986
44,23,1.27,1.2304,0.03960000000000008
44,24,45.4,50.74,-5.340000000000003
44,25,151.28,164.36,-13.080000000000013
44,26,0,,
44,27,0,,
44,28,151.28,,
44,29,0.35,0.91,-0.56
44,30,1.18,2.94,-1.76
44,31,0,,
44,32,0,,
44,33,1.18,,
45,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
45,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
45,5,1/27/2026,"January 27, 2026",
45,6,"1,031.33",1031.33,
45,7,1147294.01,1147234.01,60.0
45,8,4701705843,4701705219,624.0
45,12,SMITH J W 14256,OFFUTT EUGENE 15004,
45,16,Gas,,
45,18,Royalty Interest,,
45,19,0.010176,,
45,20,0.010176,,
45,21,11/30/2025,,
45,22,3.22,,
45,23,1.22,,
45,24,220.74,,
45,25,710.2,,
45,26,0,,
45,27,0,,
45,28,710.2,,
45,29,2.25,,
45,30,7.23,,
45,31,0,,
45,32,0,,
45,33,7.23,,
46,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
46,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
46,5,1/27/2026,"January 27, 2026",
46,6,"1,031.33",1031.33,
46,7,1147300.01,1147236.01,64.0
46,8,4701705942,4701705252,690.0
46,12,DAVIS 405035,OFFUTT EUGENE 15005,
46,16,Gas,,
46,18,Royalty Interest,ROYALTY INTEREST,
46,19,0.00035,0.01785715,-0.01750715
46,20,0.00035,0.01785715,-0.01750715
46,21,11/30/2025,Nov 25,
46,22,3.32,3.06,0.2599999999999998
46,23,1.26,1.1642,0.09580000000000011
46,24,"1,186.50",59.64,
46,25,"3,938.89",182.79,
46,26,0,,
46,27,0,,
46,28,"3,938.89",,
46,29,0.42,1.07,-0.6500000000000001
46,30,1.38,3.26,-1.88
46,31,0,,
46,32,0,,
46,33,1.38,,
47,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
47,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
47,5,1/27/2026,"January 27, 2026",
47,6,"1,031.33",1031.33,
47,7,1147302.01,1147246.01,56.0
47,8,4701705973,4701705472,501.0
47,12,SMITH J W 32304,PEARCY C L 14922,
47,16,Gas,,
47,18,Royalty Interest,ROYALTY INTEREST,
47,19,0.010176,0.075,-0.06482399999999999
47,20,0.010176,0.075,-0.06482399999999999
47,21,11/30/2025,Nov 25,
47,22,3.24,3.22,0.020000000000000018
47,23,1.23,1.2244,0.005600000000000049
47,24,514.48,143.31,371.17
47,25,"1,666.53",461.91,
47,26,0,,
47,27,0,,
47,28,"1,666.53",,
47,29,5.24,10.75,-5.51
47,30,16.96,34.64,-17.68
47,31,0,,
47,32,0,,
47,33,16.96,,
48,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
48,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
48,5,1/27/2026,"January 27, 2026",
48,6,"1,031.33",1031.33,
48,7,1147303.01,1147247.01,56.0
48,8,4701705974,4701705490,484.0
48,12,SMITH J W 34993,PEARCY C L 14921,
48,16,Gas,,
48,18,Royalty Interest,ROYALTY INTEREST,
48,19,0.010176,0.075,-0.06482399999999999
48,20,0.010176,0.075,-0.06482399999999999
48,21,11/30/2025,Nov 25,
48,22,3.24,3.22,0.020000000000000018
48,23,1.23,1.2238,0.006199999999999983
48,24,"1,059.22",87.23,
48,25,"3,431.09",281.01,
48,26,0,,
48,27,0,,
48,28,"3,431.09",,
48,29,10.78,6.54,4.239999999999999
48,30,34.91,21.08,13.829999999999998
48,31,0,,
48,32,0,,
48,33,34.91,,
49,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
49,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
49,5,1/27/2026,"January 27, 2026",
49,6,"1,031.33",1031.33,
49,7,1147304.01,1147254.01,50.0
49,8,4701705976,4701705560,416.0
49,12,SMITH J W 32309,GREYNOLDS LEVI 14473,
49,16,Gas,,
49,18,Royalty Interest,ROYALTY INTEREST,
49,19,0.010176,0.0078125,0.0023634999999999993
49,20,0.010176,0.0078125,0.0023634999999999993
49,21,11/30/2025,Nov 25,
49,22,3.24,3.33,-0.08999999999999986
49,23,1.23,1.2659,-0.03590000000000004
49,24,393.42,45.4,348.02000000000004
49,25,"1,274.38",151.28,
49,26,0,,
49,27,0,,
49,28,"1,274.38",,
49,29,4,0.35,3.65
49,30,12.97,1.18,11.790000000000001
49,31,0,,
49,32,0,,
49,33,12.97,,
50,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
50,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
50,5,1/27/2026,"January 27, 2026",
50,6,"1,031.33",1031.33,
50,7,1199478.01,1147294.01,52184.0
50,8,4708500165,4701705843,6794322.0
50,12,JONES 1481,SMITH J W 14256,
50,14,RITCHIE,DODDRIDGE,
50,16,Gas,,
50,18,Royalty Interest,ROYALTY INTEREST,
50,19,0,0.010176,-0.010176
50,20,0,0.010176,-0.010176
50,21,1/31/2026,Nov 25,
50,22,0,3.22,-3.22
50,23,1,1.2221,-0.22209999999999996
50,24,0,220.74,-220.74
50,25,0,710.2,-710.2
50,26,0,,
50,27,0,,
50,28,0,,
50,29,0,2.25,-2.25
50,30,45,7.23,37.769999999999996
50,31,0,,
50,32,0,,
50,33,45,,
51,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
51,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
51,5,1/27/2026,"January 27, 2026",
51,6,"1,031.33",1031.33,
51,7,1199891.01,1147300.01,52591.0
51,8,4701703223,4701705942,-2719.0
51,12,"SMITH, H L 1874",DAVIS 405035,
51,16,Gas,,
51,18,Royalty Interest,ROYALTY INTEREST,
51,19,0.125,0.00035,0.12465
51,20,0.125,0.00035,0.12465
51,21,11/30/2025,Nov 25,
51,22,3.19,3.32,-0.1299999999999999
51,23,1.21,1.2611,-0.051100000000000145
51,24,123.99,1186.5,-1062.51
51,25,395.23,3938.89,-3543.66
51,26,0,,
51,27,0,,
51,28,395.23,,
51,29,15.5,0.42,15.08
51,30,49.4,1.38,48.019999999999996
51,31,0,,
51,32,0,,
51,33,49.4,,
